flag	content
unlockSecret	Secret! We won't tell you how to unlock this one.
unlockSoft	Have a save file for Friday Night Funkin' Soft or Play It's Complicated (Sayori Mix) with the Festival Costume on Mirror Mode.
unlockCow	Have a save file for Doki Doki Literature Club! or Doki Doki Literature Club Plus! or beat Our Harmony with all casual costumes!
unlockHoloFunk	Find and click on a certain succubi in the Sticker Gallery Menu.
unlockTBD	Beat every song in Doki Doki Takeover at least once.
unlockFestival_SA	Get an accuracy of 90% or higher on It's Complicated (Sayori Mix).
unlockFestival_NA	Get an accuracy of 90% or higher on Beathoven (Natsuki Mix).
unlockFestival_YU	Get an accuracy of 90% or higher on Crucify (Yuri Mix).
unlockFestival_MO	Get an accuracy of 90% or higher on Glitcher (Monika Mix).
unlockFriends_SA	Get an accuracy of 90% or higher on Constricted.
unlockFriends_NA	Have a save file for Vs. Sunday or play Baka on Mirror Mode.
unlockFriends_YU	Have a save file for Vs. Tabi or play Obsession on Mirror Mode.
unlockFriends_MO	Beat Wilted on Mirror Mode.
unlockHank	Find and click on a certain vulgar assassin in the Art Gallery Menu.
unlockSleepWear	Experience a Bad Ending or beat Joyride on Mirror Mode.
unlockHotline	Have a save file for Hotline 024 or beat BOTH Deep Breaths and Poems n' Thorn on Mirror Mode.
unlockPicnic_YU	Pick Yuri on You and Me.
unlockPicnic_SA	Pick Sayori on You and Me.
unlockSkater	Pick Natsuki on You and Me.
unlockDerby	Pick Yuri on Catfight.
unlockVigilante	Pick Monika on You and Me.
unlockNeo	Get an accuracy of 90% or higher on Drinks on Me.
unlockValentine	Play an alternate version of Epiphany.
unlockBlueSkies_BF	Get an accuracy of 90% or higher on Your Demise.
unlockBlueSkies_GF	Play Love n' Funkin' on Mirror Mode.
unlockBlueSkies_SA	Play My Confession on Mirror Mode.
unlockBlueSkies_NA	Pick Natsuki on Catfight.
unlockBlueSkies_YU	Play Shrinking Violet on Mirror Mode.
unlockBlueSkies_MO	Play Reconciliation on Mirror Mode.
unlockBlueSkies_PR	Fail You and Me by not picking a doki.
